0,57706
1,57797
2,58322
3,58942
4,59516
5,60003
6,60862
7,61479
8,61614
9,62266
10,62936
11,63173
12,63464
13,63825
14,64535
15,64766
16,65123
17,65444
18,65459
19,65598
20,66051
21,66369
22,66863
23,66967
24,67733
25,68135
26,68488
27,69180
28,69494
29,70294
30,70764
31,71491
32,72229
33,72557
34,73131
35,73631
36,73923
37,74516
38,74985
39,75212
40,75600
41,76082
42,76956
43,77466
44,78403
45,78710
46,79239
47,79281
48,79323
49,79365
50,79407
51,79449
52,79491
53,79533
54,79575
55,79617
56,79659
57,79701
58,79743
59,79785
60,79827
61,79869
62,79911
63,79953
64,79995
65,80037
66,80079
67,80121
68,80163
69,80205
70,80247
71,80289
72,80331
73,80373
74,80415
75,80457
76,80499
77,80541
78,80583
79,80625
80,80667
81,80709
82,80751
83,80793
84,80835
85,80877
86,80919
87,80961
88,81003
89,81045
90,81087
91,81129
92,81197
93,81259
94,81327
95,81395
96,81463
97,81531
98,81599
99,81667
100,81735
101,81742
102,81810
103,81878
104,81946
105,82014
106,82082
107,82150
108,82218
109,82286
110,82354
111,82422
112,82490
113,82558
114,82626
115,82694
116,82762
117,82830
118,82898
119,82966
120,83034
121,83102
122,83170
123,83238
124,83306
125,83374
126,83442
127,83510
128,83578
129,83646
130,83714
131,83782
132,83850
133,83918
134,83986
135,84054
136,84122
137,84190
138,84258
139,84326
140,84446
141,84566
142,84686
143,84806
144,84926
145,85046
146,85166
147,85286
148,85406
149,85526
150,85646
151,85766
152,85886
153,86006
154,86126
155,86246
156,86366
157,86486
158,86606
159,86726
160,86846
161,86966
162,87086
163,87206
164,87326
165,87446
166,87566
167,87686
168,87806
169,87926
170,88046
171,88166
172,88286
173,88406
174,88526
175,88646
176,88766
177,88886
178,89006
179,89126
180,89246
181,89366
182,89486
183,89606
184,89726
185,89846
186,89966
187,90086
188,90206
189,90470
190,90734
191,90998
192,91262
193,91526
194,91790
195,92054
196,92318
197,92582
198,92846
199,93110
200,93374
201,93638
202,93902
203,94166
204,94430
205,94694
206,94958
207,95222
208,95486
209,95750
210,96014
211,96278
212,96542
213,96806
214,97070
215,97334
216,97598
217,97862
218,98126
219,98390
220,98654
221,98918
222,99182
223,99446
224,99710
225,99974
226,100238
227,100502
228,100766
229,101030
230,101294
231,101558
232,101822
233,102086
234,102350
235,102614
236,102878
